iter	Passed	Remaining
498	624	626
499	625	625
500	627	624
501	628	623
502	630	622
503	631	621
504	632	620
505	633	618
506	635	617
507	637	616
508	638	615
509	639	614
510	640	613
511	642	611
512	643	610
513	645	609
514	646	608
515	647	607
516	649	606
517	650	604
518	651	603
519	652	602
520	653	601
521	655	599
522	656	598
523	657	597
524	658	596
525	659	594
526	661	593
527	662	592
528	664	591
529	665	590
530	667	589
531	668	587
532	669	586
533	670	585
534	671	583
535	672	582
536	674	581
537	675	580
538	677	579
539	678	578
540	680	577
541	681	576
542	682	574
543	684	573
544	685	572
545	686	571
546	688	569
547	689	568
548	690	567
549	691	566
550	693	565
551	695	564
552	696	563
553	698	562
554	700	561
555	701	560
556	703	559
557	704	557
558	705	556
559	706	555
560	708	554
561	709	553
562	711	552
563	713	551
564	714	550
565	715	548
566	717	547
567	718	546
568	719	545
569	720	543
570	721	542
571	723	541
572	724	540
573	726	538
574	727	537
575	728	536
576	730	535
577	731	534
578	732	532
579	734	531
580	735	530
581	736	528
582	737	527
583	738	526
584	740	524
585	741	523
586	742	522
587	744	521
588	745	520
589	746	518
590	748	517
591	749	516
592	750	515
593	751	513
594	753	512
595	754	511
596	755	509
597	756	508
598	758	507
599	759	506
600	760	505
601	762	503
602	763	502
603	764	501
604	765	500
605	767	498
606	768	497
607	769	495
608	770	494
609	771	493
610	772	491
611	774	490
612	775	489
613	777	488
614	778	487
615	780	486
616	781	485
617	784	484
618	785	483
619	786	482
620	787	480
621	789	479
622	790	478
623	792	477
624	793	476
625	795	475
626	796	473
627	798	472
628	799	471
629	800	470
630	802	469
631	803	467
632	804	466
633	806	465
634	807	464
635	809	463
636	810	461
637	811	460
638	813	459
639	814	458
640	815	456
641	817	455
642	818	454
643	819	453
644	820	451
645	821	450
646	823	449
647	824	447
648	826	446
649	827	445
650	828	444
651	829	442
652	830	441
653	832	440
654	833	438
655	834	437
656	836	436
657	837	435
658	839	434
659	840	433
660	841	431
661	843	430
662	844	429
663	845	427
664	846	426
665	848	425
666	849	424
667	850	422
668	851	421
669	852	420
670	853	418
671	855	417
672	856	416
673	858	415
674	859	414
675	861	412
676	862	411
677	863	410
678	864	408
679	866	407
680	867	406
681	868	405
682	869	403
683	871	402
684	872	401
685	873	399
686	875	398
687	876	397
688	877	396
689	879	395
690	881	394
691	882	392
692	884	391
693	885	390
694	886	389
695	887	387
696	889	386
697	891	385
698	892	384
699	894	383
700	895	381
701	896	380
702	897	379
703	898	377
704	900	376
705	902	375
706	903	374
707	904	372
708	905	371
709	907	370
710	908	369
711	909	368
712	911	366
713	912	365
714	913	364
715	914	362
716	916	361
717	917	360
718	918	358
719	919	357
720	920	356
721	922	355
722	923	353
723	925	352
724	926	351
725	927	350
726	928	348
727	929	347
728	930	346
729	932	344
730	933	343
731	934	342
732	935	340
733	936	339
734	938	338
735	939	337
736	941	335
737	942	334
738	943	333
739	944	332
740	946	330
741	947	329
742	948	328
743	950	326
744	951	325
745	952	324
746	954	323
747	955	321
748	956	320
749	958	319
750	959	318
751	961	316
752	962	315
753	963	314
754	964	313
755	965	311
756	966	310
757	967	309
758	969	307
759	970	306
760	971	305
761	973	304
762	974	302
763	975	301
764	977	300
765	978	298
766	979	297
767	980	296
768	982	294
769	983	293
770	984	292
771	985	290
772	986	289
773	988	288
774	989	287
775	991	286
776	992	284
777	994	283
778	995	282
779	996	281
780	997	279
781	998	278
782	999	277
783	1000	275
784	1001	274
785	1003	273
786	1005	272
787	1006	270
788	1008	269
789	1009	268
790	1010	266
791	1011	265
792	1012	264
793	1014	263
794	1015	261
795	1016	260
796	1017	259
797	1018	257
798	1019	256
799	1021	255
800	1022	254
801	1024	252
802	1025	251
803	1027	250
804	1028	249
805	1029	247
806	1030	246
807	1031	245
808	1033	243
809	1034	242
810	1035	241
811	1036	239
812	1038	238
813	1039	237
814	1040	236
815	1041	234
816	1043	233
817	1044	232
818	1045	231
819	1046	229
820	1048	228
821	1049	227
822	1050	225
823	1051	224
824	1052	223
825	1054	222
826	1055	220
827	1056	219
828	1058	218
829	1059	217
830	1060	215
831	1062	214
832	1063	213
833	1064	211
834	1065	210
835	1066	209
836	1067	207
837	1069	206
838	1070	205
839	1072	204
840	1073	202
841	1074	201
842	1075	200
843	1076	199
844	1078	197
845	1079	196
846	1080	195
847	1081	193
848	1082	192
849	1083	191
850	1085	190
851	1086	188
852	1088	187
853	1089	186
854	1091	185
855	1092	183
856	1093	182
857	1094	181
858	1095	179
859	1096	178
860	1097	177
861	1098	175
862	1099	174
863	1101	173
864	1102	172
865	1104	170
866	1105	169
867	1106	168
868	1107	167
869	1109	165
870	1110	164
871	1111	163
872	1112	161
873	1113	160
874	1114	159
875	1116	158
876	1118	156
877	1120	155
878	1121	154
879	1123	153
880	1125	152
881	1127	150
882	1128	149
883	1129	148
884	1130	146
885	1131	145
886	1133	144
887	1134	143
888	1136	141
889	1138	140
890	1139	139
891	1140	138
892	1142	136
893	1143	135
894	1145	134
895	1146	133
896	1147	131
897	1149	130
898	1150	129
899	1152	128
900	1153	126
901	1155	125
902	1156	124
903	1158	123
904	1159	121
905	1161	120
906	1162	119
907	1163	117
908	1165	116
909	1166	115
910	1167	114
911	1169	112
912	1170	111
913	1171	110
914	1173	108
915	1174	107
916	1175	106
917	1176	105
918	1177	103
919	1178	102
920	1179	101
921	1180	99
922	1181	98
923	1183	97
924	1184	96
925	1185	94
926	1187	93
927	1188	92
928	1189	90
929	1191	89
930	1192	88
931	1193	87
932	1194	85
933	1195	84
934	1196	83
935	1197	81
936	1199	80
937	1200	79
938	1202	78
939	1203	76
940	1204	75
941	1205	74
942	1207	72
943	1208	71
944	1209	70
945	1210	69
946	1212	67
947	1213	66
948	1214	65
949	1216	64
950	1217	62
951	1218	61
952	1219	60
953	1221	58
954	1222	57
955	1223	56
956	1224	55
957	1225	53
958	1227	52
