iter	RMSE
0	0.2705825383
1	0.2423200193
2	0.2336534482
3	0.2300769256
4	0.2271695057
5	0.2257216739
6	0.2236072639
7	0.222642358
8	0.2214004273
9	0.2203858325
10	0.2196151272
11	0.219236101
12	0.2189026075
13	0.2170167259
14	0.2159176873
15	0.2153211989
16	0.2144688839
17	0.2138214125
18	0.213397298
19	0.2132343637
20	0.2130868919
21	0.212844157
22	0.2126167991
23	0.2123107611
24	0.2119778828
25	0.2112863241
26	0.2107268944
27	0.2103807947
28	0.2101711374
29	0.2099062446
30	0.2097131764
31	0.2094400579
32	0.20926981
33	0.2091495094
34	0.2089796327
35	0.2087917381
36	0.2085733683
37	0.2084721342
38	0.2082659854
39	0.2081286865
40	0.2077717717
41	0.2074121846
42	0.207184141
43	0.2070527272
44	0.2068867127
45	0.2065771128
46	0.206255567
47	0.2061505168
48	0.2054180423
49	0.2052265233
50	0.2051701529
51	0.204758107
52	0.2046239042
53	0.2043317735
54	0.2041876641
55	0.2041025345
56	0.2040327849
57	0.2039396867
58	0.203853134
59	0.2036618258
60	0.2034779017
61	0.2033113021
62	0.2031699715
63	0.2030871418
64	0.2028764216
65	0.2028094932
66	0.2027850258
67	0.2027296585
68	0.202693137
69	0.2026346956
70	0.2025654436
71	0.2024942668
72	0.2023729928
73	0.2023034932
74	0.202212648
75	0.2021120188
76	0.2019919674
77	0.2018222031
78	0.2017411362
79	0.2015872231
80	0.2015117353
81	0.2014194606
82	0.2013698095
83	0.2012818184
84	0.2010951954
85	0.2010595553
86	0.2010507126
87	0.2010038598
88	0.2009863401
89	0.2008907905
90	0.2008154692
91	0.2007236817
92	0.200670605
93	0.2006064329
94	0.2005436765
95	0.2004755433
96	0.2004342979
97	0.2004283462
98	0.2003257633
99	0.2003199366
100	0.2002063234
101	0.2001162961
102	0.2000260092
103	0.1999102221
104	0.1998494199
105	0.1998052906
106	0.1997549677
107	0.1996693526
108	0.1995694917
109	0.1994628116
110	0.1994145305
111	0.1993159326
112	0.1992682501
113	0.1991462319
114	0.1990983491
115	0.1990330825
116	0.1989603173
117	0.1989305734
118	0.1988875664
119	0.1987588483
120	0.1987503911
121	0.1986774216
122	0.1985954537
123	0.1984804888
124	0.1983992339
125	0.198333644
126	0.1982591463
127	0.1981516032
128	0.1980965462
129	0.1980236332
130	0.1979216052
131	0.1978139919
132	0.1977086049
133	0.1976809738
134	0.1976423013
135	0.197362662
136	0.1971398723
137	0.1970505704
138	0.1970040943
139	0.1969626308
140	0.1969269872
141	0.19689103
142	0.1968665515
143	0.1968153048
144	0.1967718139
145	0.1967177107
146	0.196669124
147	0.1966329718
148	0.19658885
149	0.1965238595
150	0.1964332445
151	0.1963681022
152	0.196335453
153	0.1962204613
154	0.1961665059
155	0.1961008024
156	0.1960689193
157	0.1960040306
158	0.1959299075
159	0.195885424
160	0.1958549038
161	0.1958104431
162	0.1957925553
163	0.1957584863
164	0.1957239967
165	0.1956989069
166	0.1956463169
167	0.1955653661
168	0.1955024737
169	0.1954292821
170	0.1953218162
171	0.1952823177
172	0.1952143788
173	0.1951914413
174	0.1951558431
175	0.1951053714
176	0.1950643978
177	0.1950121082
178	0.1949806676
179	0.1949395101
180	0.1948108053
181	0.1947542445
182	0.1947186587
183	0.1946817238
184	0.1946355399
185	0.1946147552
186	0.1945903038
187	0.194582932
188	0.1945364933
189	0.1944713367
190	0.1944181981
191	0.1943749725
192	0.1943120912
193	0.1942874531
194	0.1942656541
195	0.1942352299
196	0.1941657509
197	0.194144836
198	0.1941023584
199	0.1940574023
200	0.1940180689
201	0.193980272
202	0.19391153
203	0.1938679889
204	0.1938444247
205	0.1938095742
206	0.1937223594
207	0.193690717
208	0.1936444576
209	0.1936038535
210	0.1935536361
211	0.1934949591
212	0.1934215581
213	0.193383469
214	0.1933291057
215	0.1932886468
216	0.1932413884
217	0.1932245142
218	0.1931863771
219	0.1931522286
220	0.1931245362
221	0.1930586711
222	0.1930162276
223	0.1929685026
224	0.1929196047
225	0.1928771933
226	0.192844114
227	0.1927923599
228	0.192739602
229	0.1927145104
230	0.1926801864
231	0.1926237948
232	0.1925978115
233	0.1925536237
234	0.1925056965
235	0.1924875697
236	0.1924082722
237	0.1923774323
238	0.1922969062
239	0.1922743009
240	0.1922300028
241	0.1921972317
242	0.1921643298
243	0.1921634826
244	0.1921340668
245	0.192100559
246	0.1920581296
247	0.1920343015
248	0.1920048108
249	0.1919616277
250	0.1919326487
251	0.1919022326
252	0.1918829111
253	0.191839747
254	0.1917903402
255	0.1917610685
256	0.191684881
257	0.1916318274
258	0.191593115
259	0.1915556236
260	0.1915131795
261	0.191501124
262	0.1914635634
263	0.1914304571
264	0.1914052615
265	0.1914019789
266	0.1913515627
267	0.1913144005
268	0.1912904391
269	0.1912473412
270	0.1912154832
271	0.1911835796
272	0.1911552167
273	0.1911008422
274	0.1910494938
275	0.1910358891
276	0.1909968774
277	0.1909411
278	0.1909142118
279	0.1908764974
280	0.1908553056
281	0.1908234144
282	0.1907741819
283	0.1907215517
284	0.1906451267
285	0.1905777407
286	0.1905614987
287	0.1905278453
288	0.1904824112
289	0.1904638328
290	0.1903956743
291	0.1903576354
292	0.1903392116
293	0.1902808134
294	0.1902716325
295	0.1902144796
296	0.1902027464
297	0.1901765221
298	0.1901519677
299	0.1900923067
300	0.1900683745
301	0.1900124932
302	0.1899479962
303	0.1899238546
304	0.189879975
305	0.1898329546
306	0.1897850336
307	0.1897822326
308	0.1897739771
309	0.1897357656
310	0.1897180651
311	0.1896897561
312	0.1896548627
313	0.1896300067
314	0.1896287238
315	0.1896092159
316	0.1895656289
317	0.1895252411
318	0.1894934647
319	0.1894708703
320	0.1894242399
321	0.1893977086
322	0.1893775195
323	0.1893386695
324	0.1893132516
325	0.1892841402
326	0.1892559325
327	0.1892184257
328	0.1891672875
329	0.1891445674
330	0.189077153
331	0.1890765498
332	0.189017824
333	0.1890047026
334	0.1889790517
335	0.18894912
336	0.1889264356
337	0.188892336
338	0.1888697114
339	0.1888240111
340	0.1888004882
341	0.1887784568
342	0.1887301534
343	0.1886932438
344	0.1886782567
345	0.188641898
346	0.1886223909
347	0.1886090633
348	0.1885852163
349	0.1885450846
350	0.1885119793
351	0.1884492233
352	0.1884120398
353	0.1883936058
354	0.1883232535
355	0.1883228692
356	0.188285471
357	0.1882414635
358	0.1881901387
359	0.1880508507
360	0.1880261802
361	0.1879788826
362	0.1879586757
363	0.1879232061
364	0.1878689091
365	0.1878218911
366	0.1877903269
367	0.187739132
368	0.1877178271
369	0.1876960876
370	0.1876705883
371	0.1876151899
372	0.1875924823
373	0.1875577671
374	0.1875246157
375	0.1875098665
376	0.1875037896
377	0.1874710256
378	0.187470682
379	0.1874359537
380	0.1874047579
381	0.1873793288
382	0.1873453121
383	0.1872637773
384	0.1872155453
385	0.1871764246
386	0.1871489744
387	0.187115787
388	0.1870659236
389	0.187051775
390	0.1870153349
391	0.1869647019
392	0.186931876
393	0.1868955428
394	0.1868662453
395	0.1868385414
396	0.1868176229
397	0.1867745001
398	0.1867489866
399	0.1867137772
400	0.1867005741
401	0.186688705
402	0.1866415496
403	0.186624245
404	0.1866040789
405	0.1865842689
406	0.1865448049
407	0.1865302102
408	0.1865075951
409	0.1864777281
410	0.1864458751
411	0.1864047882
412	0.1863875645
413	0.1863660693
414	0.1863427315
415	0.1863108605
416	0.1862845984
417	0.1862791081
418	0.1862755493
419	0.1862532914
420	0.1862155229
421	0.1861918289
422	0.1861818433
423	0.186147996
424	0.1861273798
425	0.186107001
426	0.1860892085
427	0.1860499332
428	0.1860238481
429	0.185987266
430	0.1859621824
